t_mid_s,Time_mid,Session,Band,Region,Entropy,n_ch
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,BetaL,Temporal,0.9534279117526208,4
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,BetaL,Central,0.9641514703929209,3
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,BetaL,Parietal,0.9525126369992416,9
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,BetaL,Occipital,0.9576549823808322,5
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,BetaH,Frontal,0.9916461424782043,11
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,BetaH,Temporal,0.9585612225708703,4
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,BetaH,Central,0.9688867231322214,3
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,BetaH,Parietal,0.9642408035600647,9
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,BetaH,Occipital,0.9771790103154139,5
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Gamma,Frontal,0.9875289901612041,11
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Gamma,Temporal,0.9357477107358794,4
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Gamma,Central,0.9814485863471228,3
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Gamma,Parietal,0.9708372379914134,9
40.0,2025-10-30 13:49:50.457250118,PLANT_KINGDOM_OUTDOOR,Gamma,Occipital,0.9970676974040623,5
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Theta,Frontal,0.985098258909505,11
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Theta,Temporal,0.9668474104380655,4
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Theta,Central,0.9455202855002676,3
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Theta,Parietal,0.9724284539131302,9
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Theta,Occipital,0.9813469618905563,5
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Alpha,Frontal,0.9845629243500643,11
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Alpha,Temporal,0.911656718475969,4
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Alpha,Central,0.9498151923258652,3
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Alpha,Parietal,0.9532201084044156,9
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Alpha,Occipital,0.9478169539624651,5
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,BetaL,Frontal,0.9846945038877948,11
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,BetaL,Temporal,0.912225870301857,4
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,BetaL,Central,0.9526912762481213,3
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,BetaL,Parietal,0.9504908665680594,9
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,BetaL,Occipital,0.9648409549012649,5
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,BetaH,Frontal,0.9916024875763568,11
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,BetaH,Temporal,0.9419713995203518,4
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,BetaH,Central,0.978919642966163,3
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,BetaH,Parietal,0.9708567181740534,9
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,BetaH,Occipital,0.9789020169792506,5
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Gamma,Frontal,0.9878759960213096,11
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Gamma,Temporal,0.9157087768919331,4
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Gamma,Central,0.9859627982726301,3
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Gamma,Parietal,0.9748503112390668,9
45.0,2025-10-30 13:49:55.457129955,PLANT_KINGDOM_OUTDOOR,Gamma,Occipital,0.9950155617254924,5
